x,y
1658.84590760345,332.613304510059
1645.42804943903,327.999507082479
1631.9595130825,325.608187786717
1618.48852618233,324.971874481808
1605.03679377339,324.247556635265
1591.6351757335,323.774748559149
1578.22936376507,323.002068425683
1564.84143047137,322.286713489898
1551.51502240861,321.667967409879
1538.21084978493,320.974180087177
1524.93563577066,319.611371805589
1511.7052233146,319.535416164788
1498.67304649792,318.686915460065
1485.72308277026,317.013615252339
1472.80072855691,315.969015406221
1459.86678749979,315.815696364014
1446.93996375594,314.857072417382
1434.05165058399,313.908039907381
1421.37163634336,312.053284961854
1408.80121114718,310.994415911976
1396.2776271552,309.872358518999
1383.78258790501,308.722463461921
1371.31499046995,307.558509457988
1358.87525789999,306.385453920976
1346.47829265122,304.543595286036
1334.12300694778,303.379938239318
1321.78480294358,303.160982830402
1309.52611955338,301.990886814933
1297.3938748472,300.811455030984
1285.3189053012,299.384976412925
1273.30725358281,297.918949453331
1261.33815431897,296.440556929133
1249.44099828294,294.258521686933
1237.59027690293,293.690228483758
1225.76909338398,292.427992026457
1214.00567309044,291.262954615643
1202.24834768985,289.82151001819
1190.56076450805,287.724229984347
1178.93885846751,286.367355742975
1167.35007838359,284.93237144711
1155.89459513314,283.490148722424
1144.5203006926,282.833643269531
1133.22320572697,280.552235018322
1122.00122496303,279.124905477131
1110.85068235512,277.448447525979
1099.75563767213,275.708340182795
1088.72378820058,274.026750776459
1077.75531146999,271.753833198052
1066.85440689353,270.898861836476
1056.00159319264,269.394992834827
1045.20428540241,267.769700937958
1034.46457173781,266.068461190233
1023.79253943759,264.311952777844
1013.18553078073,261.90987813278
1002.65526647335,260.880095615612
992.190284775584,259.276145233065
981.843901099239,257.468774412487
971.700991890127,255.098562078429
961.543216164225,252.625097070461
951.428757466675,250.69395521207
941.351264089325,249.024435436051
931.360284948117,247.292211136619
891.620066808691,245.225703554194
881.802616371853,243.174325210515
872.04353426912,241.828027230162
862.338374202744,240.470683264422
852.688289855762,239.841877854944
843.083034284292,238.526921365887
833.525711830884,237.02773511622
824.026041356075,234.876288740084
814.556872592461,233.700770869635
805.1013493601,232.751069916336
795.710266944793,231.891523023029
786.382173635403,231.033636795548
777.106559005546,230.163325602453
767.876468019011,230.02064511731
758.676572758584,229.126326514471
749.5079563538,228.245637219468
740.369712626452,227.272278825799
731.258284931032,225.651119703612
722.179895223494,224.786754516469
713.133320734008,223.913767906927
704.121254155834,223.026683214945
695.14222046422,222.13709442708
686.196905349418,221.240829888183
677.28373696698,220.341624730005
668.404619615397,219.445701411176
659.558870990906,219.264062327792
650.739326705113,218.398965797183
641.929492936275,216.772216368454
633.125341741117,216.237867085065
624.33476206654,215.74593476882
615.560478256776,215.180429895564
606.806845474804,214.630597622406
598.100265160341,214.093595026522
589.435573431765,213.557537812705
580.802207662147,213.026203257699
572.197393808102,212.473730396595
563.620185898442,211.905506372885
555.070298776885,211.325380199796
546.545152933321,210.73612467521
538.044475660276,210.139183813315
529.564758669488,209.541926523702
521.109849924195,208.934342343187
495.878793560735,206.319298486083
470.864577112947,205.39212968859
462.56992356505,204.837137503387
454.293524050033,204.215440973694
446.016559452629,203.666125772867
437.743486720017,203.182982620455
429.477767122817,202.742681712328
421.222369182884,202.328091643824
412.978113035527,201.928419540715
404.828301752264,201.531546223264
396.78983681994,201.124043150577
388.859267452455,200.690542542877
381.033856546476,200.217661198391
373.311201314119,199.696219120874
365.689125758508,199.119508997895
358.162792544776,198.486984503726
350.730892904977,197.794799653061
343.390318058456,196.32286596944
336.140982459928,195.596142993795
328.97861371796,195.54749253308
321.898153951599,194.676962341981
314.897091630267,193.682187387695
307.972994290427,192.656225183706
301.125668626378,191.596201289706
294.352999628352,190.502630432292
287.654933310898,189.376382658952
281.030051539189,188.218690121979
274.478313285245,186.292772893779
268.002418578014,185.154235914114
261.601233207617,183.965944601811
255.26469127038,183.5590533893
248.979383742974,182.267196895568
242.751104986853,181.006384231969
236.583197165401,179.759201701457
230.477001193752,177.763010568998
224.436090674594,176.587038986218
218.460843412184,175.37550239859
212.551389359914,174.134071005256
206.707536920484,172.868748889137
200.929668302297,172.344227837975
195.215529382079,170.189873319714
189.567874060199,168.87784694719
183.98808271948,167.538872384328
178.475672409282,166.175834005643
173.031510580571,164.79148063712
167.655746100427,163.388295273426
162.349960411891,161.96651756954
157.114444531566,160.527032367258
151.949041949074,158.283543276381
146.856139978325,157.608106571119
141.834757326832,156.090170548798
136.885528866881,154.560673002723
132.009094286842,153.019245756182
127.205608417256,150.666217309318
122.478439099176,149.173611475981
117.827547019518,147.641075342217
113.254039940688,146.077952268363
108.752353276627,144.50041811291
104.305084933129,142.929689994574
99.9211294165693,140.5484320331
95.6063943661417,139.075286277094
91.3625642376278,138.241155865884
87.1903846366758,136.649342504909
83.0909195585609,134.227466182513
79.066339763777,132.712479710679
75.1177400294745,131.164173732761
71.2457921796926,129.588878335051
67.4511991371607,127.991332023608
63.7345181482064,126.373295930483
60.0967093073875,123.876585933281
56.5398620616731,122.302536969656
53.0647242801203,120.686582877977
49.6717750634027,119.03805924731
46.3620405747699,117.363323774456
43.1356157854886,114.775775818285
39.9950146521498,113.137079676075
36.9406573856306,111.454287181802
33.9731226871024,109.7373688624
31.0936479358026,107.422315852704
28.3042091689396,104.787244197184
25.6055709038014,103.123632170282
22.998757584851,101.404834956889
20.4842304307458,99.6452101996765
18.0631888753748,97.3128622672095
15.7269050032734,94.5883138987589
13.4583294117621,92.9028536017666
11.2694469563371,90.660220319574
9.1653226368337,88.9841594361829
7.14887953671291,86.7665795579096
